Non-Responder,Responder,odds_ratio,p_value
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
0.0,3.0,inf,0.10000000000000006
1.0,3.0,9.0,0.48571428571428527
0.0,2.0,inf,0.3333333333333334
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
2.0,3.0,2.25,1.0
1.0,1.0,1.0,1.0
0.0,1.0,inf,1.0
1.0,0.0,0.0,1.0
0.0,2.0,inf,0.3333333333333334
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
2.0,0.0,0.0,0.3333333333333334
0.0,3.0,inf,0.10000000000000006
1.0,2.0,4.0,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
1.0,2.0,4.0,1.0
2.0,2.0,1.0,1.0
1.0,2.0,4.0,1.0
0.0,1.0,inf,1.0
1.0,1.0,1.0,1.0
0.0,2.0,inf,0.3333333333333334
1.0,3.0,9.0,0.48571428571428527
0.0,1.0,inf,1.0
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
1.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
0.0,3.0,inf,0.10000000000000006
0.0,2.0,inf,0.3333333333333334
0.0,1.0,inf,1.0
1.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0
0.0,2.0,inf,0.3333333333333334
0.0,1.0,inf,1.0
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
1.0,3.0,9.0,0.48571428571428527
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
1.0,1.0,1.0,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
1.0,0.0,0.0,1.0
0.0,2.0,inf,0.3333333333333334
1.0,1.0,1.0,1.0
1.0,0.0,0.0,1.0
3.0,6.0,4.0,0.34693541752365303
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
0.0,3.0,inf,0.10000000000000006
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
2.0,0.0,0.0,0.3333333333333334
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,1.0,inf,1.0
0.0,2.0,inf,0.3333333333333334
0.0,3.0,inf,0.10000000000000006
1.0,1.0,1.0,1.0
0.0,1.0,inf,1.0
1.0,0.0,0.0,1.0
0.0,1.0,inf,1.0
1.0,1.0,1.0,1.0
