Hugo_Symbol,Non-Responder,Responder,odds_ratio,p_value
ADCY10,0.0,5.0,inf,0.007936507936507929
AHNAK,0.0,5.0,inf,0.007936507936507929
AKAP10,0.0,5.0,inf,0.007936507936507929
AKAP13,0.0,4.0,inf,0.028571428571428536
AKAP9,0.0,9.0,inf,4.113533525298231e-05
ANK1,0.0,4.0,inf,0.028571428571428536
ANK2,0.0,9.0,inf,4.113533525298231e-05
ANKRD36C,4.0,0.0,0.0,0.028571428571428536
ATAD5,0.0,5.0,inf,0.007936507936507929
C11orf48,0.0,4.0,inf,0.028571428571428536
C9orf84,0.0,4.0,inf,0.028571428571428536
CACNA1A,0.0,4.0,inf,0.028571428571428536
CC2D1A,0.0,4.0,inf,0.028571428571428536
CDH18,0.0,4.0,inf,0.028571428571428536
CDK5RAP1,0.0,4.0,inf,0.028571428571428536
CDKN2A,0.0,5.0,inf,0.007936507936507929
CEP350,0.0,7.0,inf,0.0005827505827505842
CHD5,0.0,5.0,inf,0.007936507936507929
CNOT1,0.0,5.0,inf,0.007936507936507929
COL6A6,0.0,5.0,inf,0.007936507936507929
CUBN,1.0,8.0,64.0,0.0033730974907445477
DGKA,0.0,4.0,inf,0.028571428571428536
DMXL1,0.0,6.0,inf,0.002164502164502165
DNAH3,0.0,7.0,inf,0.0005827505827505842
DNAH8,1.0,6.0,36.0,0.029137529137529216
DOPEY2,0.0,5.0,inf,0.007936507936507929
DSCAML1,0.0,4.0,inf,0.028571428571428536
DST,3.0,9.0,9.0,0.039125701327881984
ERBB2,0.0,4.0,inf,0.028571428571428536
ERCC2,0.0,9.0,inf,4.113533525298231e-05
F5,0.0,6.0,inf,0.002164502164502165
FAM179B,0.0,4.0,inf,0.028571428571428536
FBLN1,6.0,1.0,0.027777777777777776,0.029137529137529216
FBXW7,0.0,5.0,inf,0.007936507936507929
FHOD1,6.0,0.0,0.0,0.002164502164502165
GANC,0.0,4.0,inf,0.028571428571428536
HECTD1,0.0,6.0,inf,0.002164502164502165
HECTD4,0.0,4.0,inf,0.028571428571428536
HERC1,0.0,8.0,inf,0.00015540015540015518
HEXIM1,0.0,4.0,inf,0.028571428571428536
HIVEP2,0.0,5.0,inf,0.007936507936507929
HSPG2,0.0,4.0,inf,0.028571428571428536
IRF2BPL,0.0,6.0,inf,0.002164502164502165
IRS4,7.0,1.0,0.02040816326530612,0.0101010101010101
JUP,4.0,0.0,0.0,0.028571428571428536
KIAA0232,0.0,6.0,inf,0.002164502164502165
KIAA1109,0.0,5.0,inf,0.007936507936507929
KIF19,0.0,4.0,inf,0.028571428571428536
KMT2B,0.0,5.0,inf,0.007936507936507929
KMT2C,1.0,19.0,361.0,5.818064530643703e-09
KRT4,0.0,9.0,inf,4.113533525298231e-05
KRTAP4-11,4.0,0.0,0.0,0.028571428571428536
LAMA3,1.0,6.0,36.0,0.029137529137529216
LMBRD2,0.0,4.0,inf,0.028571428571428536
LRIG2,0.0,4.0,inf,0.028571428571428536
MACF1,0.0,6.0,inf,0.002164502164502165
MAP1A,0.0,5.0,inf,0.007936507936507929
MAP2K1,5.0,0.0,0.0,0.007936507936507929
MLH3,4.0,0.0,0.0,0.028571428571428536
MMS22L,0.0,5.0,inf,0.007936507936507929
MROH2B,0.0,6.0,inf,0.002164502164502165
MSLNL,5.0,0.0,0.0,0.007936507936507929
MYCBP2,1.0,7.0,49.0,0.0101010101010101
MYH6,0.0,4.0,inf,0.028571428571428536
MYO15A,0.0,4.0,inf,0.028571428571428536
MYO18B,0.0,4.0,inf,0.028571428571428536
MYO5A,0.0,4.0,inf,0.028571428571428536
NALCN,0.0,4.0,inf,0.028571428571428536
NARG2,0.0,4.0,inf,0.028571428571428536
NAV1,0.0,4.0,inf,0.028571428571428536
NAV3,0.0,4.0,inf,0.028571428571428536
NF1,0.0,4.0,inf,0.028571428571428536
OR2T12,0.0,4.0,inf,0.028571428571428536
PCM1,0.0,4.0,inf,0.028571428571428536
PKHD1L1,4.0,0.0,0.0,0.028571428571428536
POLQ,0.0,5.0,inf,0.007936507936507929
PURB,0.0,6.0,inf,0.002164502164502165
RBBP8,0.0,4.0,inf,0.028571428571428536
RYR2,0.0,4.0,inf,0.028571428571428536
RYR3,0.0,4.0,inf,0.028571428571428536
SLC44A2,0.0,4.0,inf,0.028571428571428536
SON,0.0,5.0,inf,0.007936507936507929
SPEN,16.0,6.0,0.140625,0.006004008466248689
SPESP1,0.0,4.0,inf,0.028571428571428536
SYNE1,3.0,9.0,9.0,0.039125701327881984
TG,1.0,6.0,36.0,0.029137529137529216
TIAM1,0.0,4.0,inf,0.028571428571428536
TRAFD1,0.0,4.0,inf,0.028571428571428536
TRIM8,0.0,4.0,inf,0.028571428571428536
TYRO3,10.0,1.0,0.01,0.0003458873427913682
UGP2,4.0,0.0,0.0,0.028571428571428536
USP9X,0.0,4.0,inf,0.028571428571428536
VPS13C,0.0,7.0,inf,0.0005827505827505842
WNK1,0.0,5.0,inf,0.007936507936507929
ZMIZ1,0.0,4.0,inf,0.028571428571428536
ZNF28,0.0,5.0,inf,0.007936507936507929
